no	scene	subfolder	image_id	objects	labels	boxes	query	truth
52	desk	desk_1	58	cap,coffee mug	cap_4,coffee_mug_5	(131, 188, 182, 200),(534, 80, 82, 86)	red cap	(1,0)
53	desk	desk_1	58	cap,coffee mug	cap_4,coffee_mug_5	(131, 188, 182, 200),(534, 80, 82, 86)	The coffee mug right from the cap	(0,1)
53	desk	desk_1	59	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(78, 201, 194, 209),(490, 92, 79, 84),(589, 106, 51, 91)	cap	(1,0,0)
54	desk	desk_1	59	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(78, 201, 194, 209),(490, 92, 79, 84),(589, 106, 51, 91)	coffee mug	(0,1,0)
55	desk	desk_1	59	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(78, 201, 194, 209),(490, 92, 79, 84),(589, 106, 51, 91)	soda can	(0,0,1)
54	desk	desk_1	6	coffee mug,soda can	coffee_mug_5,soda_can_6	(68, 191, 131, 112),(160, 214, 79, 129)	coffee mug	(1,0)
55	desk	desk_1	6	coffee mug,soda can	coffee_mug_5,soda_can_6	(68, 191, 131, 112),(160, 214, 79, 129)	soda can	(0,1)
55	desk	desk_1	60	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(49, 206, 203, 216),(472, 98, 78, 83),(571, 112, 65, 91)	cap	(1,0,0)
56	desk	desk_1	60	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(49, 206, 203, 216),(472, 98, 78, 83),(571, 112, 65, 91)	coffee mug	(0,1,0)
57	desk	desk_1	60	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(49, 206, 203, 216),(472, 98, 78, 83),(571, 112, 65, 91)	soda can	(0,0,1)
56	desk	desk_1	61	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 234, 210, 233),(438, 119, 78, 83),(537, 132, 62, 91)	cap	(1,0,0)
57	desk	desk_1	61	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 234, 210, 233),(438, 119, 78, 83),(537, 132, 62, 91)	coffee mug	(0,1,0)
58	desk	desk_1	61	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 234, 210, 233),(438, 119, 78, 83),(537, 132, 62, 91)	soda can	(0,0,1)
57	desk	desk_1	62	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 245, 165, 235),(400, 118, 80, 84),(501, 130, 60, 91)	The cap left from the tall mug	(1,0,0)
58	desk	desk_1	62	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 245, 165, 235),(400, 118, 80, 84),(501, 130, 60, 91)	coffee mug	(0,1,0)
59	desk	desk_1	62	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 245, 165, 235),(400, 118, 80, 84),(501, 130, 60, 91)	Welchs	(0,0,1)
58	desk	desk_1	63	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 262, 126, 218),(367, 111, 80, 85),(470, 123, 57, 91)	The cap left from the coffee mug	(1,0,0)
59	desk	desk_1	63	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 262, 126, 218),(367, 111, 80, 85),(470, 123, 57, 91)	The coffee mug close to the soda can	(0,1,0)
60	desk	desk_1	63	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 262, 126, 218),(367, 111, 80, 85),(470, 123, 57, 91)	soda can	(0,0,1)
59	desk	desk_1	64	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 299, 90, 181),(339, 120, 82, 85),(445, 129, 55, 92)	red cap	(1,0,0)
60	desk	desk_1	64	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 299, 90, 181),(339, 120, 82, 85),(445, 129, 55, 92)	white coffee mug	(0,1,0)
61	desk	desk_1	64	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 299, 90, 181),(339, 120, 82, 85),(445, 129, 55, 92)	soda can	(0,0,1)
60	desk	desk_1	65	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 329, 51, 139),(316, 127, 84, 85),(423, 135, 54, 92)	red cap	(1,0,0)
61	desk	desk_1	65	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 329, 51, 139),(316, 127, 84, 85),(423, 135, 54, 92)	The coffee mug close to the orange drink	(0,1,0)
62	desk	desk_1	65	cap,coffee mug,soda can	cap_4,coffee_mug_5,soda_can_6	(1, 329, 51, 139),(316, 127, 84, 85),(423, 135, 54, 92)	soda can	(0,0,1)
61	desk	desk_1	66	coffee mug,soda can	coffee_mug_5,soda_can_6	(300, 130, 85, 85),(408, 136, 52, 92)	coffee mug	(1,0)
62	desk	desk_1	66	coffee mug,soda can	coffee_mug_5,soda_can_6	(300, 130, 85, 85),(408, 136, 52, 92)	soda can	(0,1)
62	desk	desk_1	67	coffee mug,soda can	coffee_mug_5,soda_can_6	(266, 135, 88, 86),(377, 140, 51, 94)	tall mug	(1,0)
63	desk	desk_1	67	coffee mug,soda can	coffee_mug_5,soda_can_6	(266, 135, 88, 86),(377, 140, 51, 94)	soda can	(0,1)
63	desk	desk_1	68	coffee mug,soda can	coffee_mug_5,soda_can_6	(238, 138, 93, 89),(353, 143, 52, 96)	The coffee mug close to the soda can	(1,0)
64	desk	desk_1	68	coffee mug,soda can	coffee_mug_5,soda_can_6	(238, 138, 93, 89),(353, 143, 52, 96)	Welchs	(0,1)
64	desk	desk_1	69	coffee mug,soda can	coffee_mug_5,soda_can_6	(236, 137, 95, 92),(352, 144, 54, 99)	The coffee mug close to the orange drink	(1,0)
65	desk	desk_1	69	coffee mug,soda can	coffee_mug_5,soda_can_6	(236, 137, 95, 92),(352, 144, 54, 99)	soda can	(0,1)
65	desk	desk_1	7	coffee mug,soda can	coffee_mug_5,soda_can_6	(95, 186, 126, 109),(185, 208, 76, 126)	tall mug	(1,0)
66	desk	desk_1	7	coffee mug,soda can	coffee_mug_5,soda_can_6	(95, 186, 126, 109),(185, 208, 76, 126)	orange soda can	(0,1)
66	desk	desk_1	70	coffee mug,soda can	coffee_mug_5,soda_can_6	(253, 151, 95, 95),(370, 165, 56, 101)	tall mug	(1,0)
67	desk	desk_1	70	coffee mug,soda can	coffee_mug_5,soda_can_6	(253, 151, 95, 95),(370, 165, 56, 101)	orange soda can	(0,1)
67	desk	desk_1	71	coffee mug,soda can	coffee_mug_5,soda_can_6	(260, 156, 97, 98),(378, 174, 60, 105)	coffee mug	(1,0)
68	desk	desk_1	71	coffee mug,soda can	coffee_mug_5,soda_can_6	(260, 156, 97, 98),(378, 174, 60, 105)	The soda can close to the white coffee mug	(0,1)
68	desk	desk_1	72	coffee mug,soda can	coffee_mug_5,soda_can_6	(249, 145, 102, 100),(372, 163, 61, 108)	coffee mug	(1,0)
69	desk	desk_1	72	coffee mug,soda can	coffee_mug_5,soda_can_6	(249, 145, 102, 100),(372, 163, 61, 108)	orange drink	(0,1)
69	desk	desk_1	73	coffee mug,soda can	coffee_mug_5,soda_can_6	(238, 138, 105, 104),(362, 162, 63, 111)	coffee mug	(1,0)
70	desk	desk_1	73	coffee mug,soda can	coffee_mug_5,soda_can_6	(238, 138, 105, 104),(362, 162, 63, 111)	soda can	(0,1)
70	desk	desk_1	74	coffee mug,soda can	coffee_mug_5,soda_can_6	(239, 126, 108, 108),(362, 157, 67, 113)	coffee mug	(1,0)
71	desk	desk_1	74	coffee mug,soda can	coffee_mug_5,soda_can_6	(239, 126, 108, 108),(362, 157, 67, 113)	Welchs	(0,1)
71	desk	desk_1	75	coffee mug,soda can	coffee_mug_5,soda_can_6	(242, 130, 110, 108),(364, 164, 68, 114)	coffee mug	(1,0)
72	desk	desk_1	75	coffee mug,soda can	coffee_mug_5,soda_can_6	(242, 130, 110, 108),(364, 164, 68, 114)	orange soda can	(0,1)
72	desk	desk_1	76	coffee mug,soda can	coffee_mug_5,soda_can_6	(245, 125, 111, 109),(365, 163, 68, 115)	tall mug	(1,0)
73	desk	desk_1	76	coffee mug,soda can	coffee_mug_5,soda_can_6	(245, 125, 111, 109),(365, 163, 68, 115)	orange drink	(0,1)
73	desk	desk_1	77	coffee mug,soda can	coffee_mug_5,soda_can_6	(227, 127, 113, 110),(346, 168, 68, 115)	The coffee mug left from the soda can	(1,0)
74	desk	desk_1	77	coffee mug,soda can	coffee_mug_5,soda_can_6	(227, 127, 113, 110),(346, 168, 68, 115)	Welchs	(0,1)
74	desk	desk_1	78	coffee mug,soda can	coffee_mug_5,soda_can_6	(222, 126, 115, 111),(344, 168, 68, 115)	white coffee mug	(1,0)
75	desk	desk_1	78	coffee mug,soda can	coffee_mug_5,soda_can_6	(222, 126, 115, 111),(344, 168, 68, 115)	orange drink	(0,1)
75	desk	desk_1	79	coffee mug,soda can	coffee_mug_5,soda_can_6	(224, 145, 115, 110),(343, 192, 68, 113)	tall mug	(1,0)
76	desk	desk_1	79	coffee mug,soda can	coffee_mug_5,soda_can_6	(224, 145, 115, 110),(343, 192, 68, 113)	soda can	(0,1)
76	desk	desk_1	8	coffee mug,soda can	coffee_mug_5,soda_can_6	(134, 173, 120, 105),(224, 193, 72, 121)	The coffee mug close to the soda can	(1,0)
77	desk	desk_1	8	coffee mug,soda can	coffee_mug_5,soda_can_6	(134, 173, 120, 105),(224, 193, 72, 121)	orange soda can	(0,1)
77	desk	desk_1	80	coffee mug,soda can	coffee_mug_5,soda_can_6	(206, 125, 117, 111),(326, 173, 67, 113)	coffee mug	(1,0)
78	desk	desk_1	80	coffee mug,soda can	coffee_mug_5,soda_can_6	(206, 125, 117, 111),(326, 173, 67, 113)	orange soda can	(0,1)
78	desk	desk_1	81	coffee mug,soda can	coffee_mug_5,soda_can_6	(207, 126, 118, 111),(325, 176, 67, 113)	coffee mug	(1,0)
79	desk	desk_1	81	coffee mug,soda can	coffee_mug_5,soda_can_6	(207, 126, 118, 111),(325, 176, 67, 113)	orange soda can	(0,1)
79	desk	desk_1	82	coffee mug,soda can	coffee_mug_5,soda_can_6	(234, 140, 117, 112),(345, 200, 69, 114)	tall mug	(1,0)
80	desk	desk_1	82	coffee mug,soda can	coffee_mug_5,soda_can_6	(234, 140, 117, 112),(345, 200, 69, 114)	The soda can right from the coffee mug	(0,1)
80	desk	desk_1	83	coffee mug,soda can	coffee_mug_5,soda_can_6	(236, 146, 119, 113),(341, 212, 70, 115)	The coffee mug left from the soda can	(1,0)
81	desk	desk_1	83	coffee mug,soda can	coffee_mug_5,soda_can_6	(236, 146, 119, 113),(341, 212, 70, 115)	soda can	(0,1)
81	desk	desk_1	84	coffee mug,soda can	coffee_mug_5,soda_can_6	(232, 149, 120, 112),(331, 215, 71, 116)	tall mug	(1,0)
82	desk	desk_1	84	coffee mug,soda can	coffee_mug_5,soda_can_6	(232, 149, 120, 112),(331, 215, 71, 116)	soda can	(0,1)
82	desk	desk_1	85	coffee mug,soda can	coffee_mug_5,soda_can_6	(224, 152, 119, 110),(314, 217, 73, 115)	tall mug	(1,0)
83	desk	desk_1	85	coffee mug,soda can	coffee_mug_5,soda_can_6	(224, 152, 119, 110),(314, 217, 73, 115)	The soda can right from the coffee mug	(0,1)
83	desk	desk_1	86	coffee mug,soda can	coffee_mug_5,soda_can_6	(223, 162, 116, 109),(306, 229, 72, 114)	coffee mug	(1,0)
84	desk	desk_1	86	coffee mug,soda can	coffee_mug_5,soda_can_6	(223, 162, 116, 109),(306, 229, 72, 114)	orange soda can	(0,1)
84	desk	desk_1	87	coffee mug,soda can	coffee_mug_5,soda_can_6	(217, 159, 117, 110),(294, 227, 73, 115)	The coffee mug close to the orange soda can	(1,0)
85	desk	desk_1	87	coffee mug,soda can	coffee_mug_5,soda_can_6	(217, 159, 117, 110),(294, 227, 73, 115)	Welchs	(0,1)
85	desk	desk_1	88	coffee mug,soda can	coffee_mug_5,soda_can_6	(200, 164, 120, 111),(272, 233, 76, 118)	tall mug	(1,0)
86	desk	desk_1	88	coffee mug,soda can	coffee_mug_5,soda_can_6	(200, 164, 120, 111),(272, 233, 76, 118)	The soda can in front of the tall mug	(0,1)
86	desk	desk_1	89	coffee mug,soda can	coffee_mug_5,soda_can_6	(195, 179, 119, 112),(259, 250, 78, 120)	tall mug	(1,0)
87	desk	desk_1	89	coffee mug,soda can	coffee_mug_5,soda_can_6	(195, 179, 119, 112),(259, 250, 78, 120)	soda can	(0,1)
87	desk	desk_1	9	coffee mug,soda can	coffee_mug_5,soda_can_6	(158, 157, 116, 103),(249, 175, 70, 119)	white coffee mug	(1,0)
88	desk	desk_1	9	coffee mug,soda can	coffee_mug_5,soda_can_6	(158, 157, 116, 103),(249, 175, 70, 119)	soda can	(0,1)
88	desk	desk_1	90	coffee mug,soda can	coffee_mug_5,soda_can_6	(183, 178, 120, 113),(242, 251, 79, 120)	coffee mug	(1,0)
89	desk	desk_1	90	coffee mug,soda can	coffee_mug_5,soda_can_6	(183, 178, 120, 113),(242, 251, 79, 120)	orange soda can	(0,1)
89	desk	desk_1	91	coffee mug,soda can	coffee_mug_5,soda_can_6	(199, 163, 118, 112),(253, 235, 79, 120)	coffee mug	(1,0)
90	desk	desk_1	91	coffee mug,soda can	coffee_mug_5,soda_can_6	(199, 163, 118, 112),(253, 235, 79, 120)	The soda can close to the white coffee mug	(0,1)
90	desk	desk_1	92	coffee mug,soda can	coffee_mug_5,soda_can_6	(187, 150, 119, 113),(238, 222, 79, 121)	tall mug	(1,0)
91	desk	desk_1	92	coffee mug,soda can	coffee_mug_5,soda_can_6	(187, 150, 119, 113),(238, 222, 79, 121)	soda can	(0,1)
91	desk	desk_1	93	coffee mug,soda can	coffee_mug_5,soda_can_6	(186, 153, 116, 111),(232, 224, 78, 119)	coffee mug	(1,0)
92	desk	desk_1	93	coffee mug,soda can	coffee_mug_5,soda_can_6	(186, 153, 116, 111),(232, 224, 78, 119)	soda can	(0,1)
92	desk	desk_1	94	coffee mug,soda can	coffee_mug_5,soda_can_6	(211, 153, 108, 106),(245, 220, 78, 116)	white coffee mug	(1,0)
93	desk	desk_1	94	coffee mug,soda can	coffee_mug_5,soda_can_6	(211, 153, 108, 106),(245, 220, 78, 116)	soda can	(0,1)
93	desk	desk_1	95	coffee mug,soda can	coffee_mug_5,soda_can_6	(231, 156, 101, 101),(258, 219, 75, 111)	tall mug	(1,0)
94	desk	desk_1	95	coffee mug,soda can	coffee_mug_5,soda_can_6	(231, 156, 101, 101),(258, 219, 75, 111)	orange soda can	(0,1)
94	desk	desk_1	96	coffee mug,soda can	coffee_mug_5,soda_can_6	(268, 148, 94, 96),(285, 206, 73, 108)	coffee mug	(1,0)
95	desk	desk_1	96	coffee mug,soda can	coffee_mug_5,soda_can_6	(268, 148, 94, 96),(285, 206, 73, 108)	orange drink	(0,1)
95	desk	desk_1	97	coffee mug,soda can	coffee_mug_5,soda_can_6	(302, 158, 93, 97),(314, 216, 68, 110)	white coffee mug	(1,0)
96	desk	desk_1	97	coffee mug,soda can	coffee_mug_5,soda_can_6	(302, 158, 93, 97),(314, 216, 68, 110)	soda can	(0,1)
